,index,FIPS,CHIPSTAX_STORES14,CHIPSTAX_VENDM14,CONVSPTH14,FFRPTH14,FMRKTPTH16,FOODHUB16,FOOD_TAX14,FSRPTH14,GROCPTH14,MEDHHINC15,METRO13,PCT_18YOUNGER10,PCT_65OLDER10,PCT_DIABETES_ADULTS13,PCT_FMRKT_ANMLPROD16,PCT_FMRKT_BAKED16,PCT_FMRKT_CREDIT16,PCT_FMRKT_FRVEG16,PCT_FMRKT_OTHERFOOD16,PCT_FMRKT_SFMNP16,PCT_FMRKT_SNAP16,PCT_FMRKT_WIC16,PCT_FMRKT_WICCASH16,PCT_HISP10,PCT_HSPA15,PCT_LACCESS_BLACK15,PCT_LACCESS_CHILD15,PCT_LACCESS_HHNV15,PCT_LACCESS_HISP15,PCT_LACCESS_LOWI15,PCT_LACCESS_MULTIR15,PCT_LACCESS_NHASIAN15,PCT_LACCESS_NHNA15,PCT_LACCESS_NHPI15,PCT_LACCESS_POP15,PCT_LACCESS_SENIORS15,PCT_LACCESS_SNAP15,PCT_LACCESS_WHITE15,PCT_NHASIAN10,PCT_NHBLACK10,PCT_NHNA10,PCT_NHPI10,PCT_NHWHITE10,PCT_NSLP15,PCT_OBESE_ADULTS13,PCT_SBP15,PCT_SFSP15,PCT_SNAP16,PCT_WIC15,POVRATE15,RECFACPTH14,SNAPSPTH16,SODATAX_STORES14,SODATAX_VENDM14,SPECSPTH14,SUPERCPTH14,cluster,County
0,0,21001,0.0,6.0,0.520724849,0.312434909,0.10373443983402489,0,0.0,0.572797334,0.260362424,32007.0,0,22.545025728987994,15.32482847341338,15.1,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,1.7099056603773584,20.200000000000003,0.11659729957461781,2.3144159422464194,4.682255118947714,0.1618024970629583,5.263530849885013,0.19181447004336516,0.005775665537666648,0.000733359103605446,0.005360206001634702,9.259422345469124,1.4659943413318288,1.7002734631991214,8.93914131540609,0.23048885077186962,2.6854631217838767,0.19296740994854203,0.02144082332761578,94.11449399656946,11.870195019674167,34.3,6.396815356607275,0.7460409862665002,14.493977201579275,2.6254576560216147,27.2,0.0,1.00708852005532,6.0,6.0,0.0,0.0520725,0,Adair
1,1,21005,0.0,6.0,0.456871345,0.868055556,0.0451304269338388,0,0.0,0.365497076,0.091374269,55523.0,0,25.423649689556978,12.039587320853368,12.2,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,1.3444750478502405,20.200000000000003,0.616784404264997,5.927919018712105,1.402410759453053,0.3441633728923743,5.975886816449279,0.4355142745915877,0.0776919452428911,0.02781077764717357,0.004668316138368891,21.357715938207832,2.046081842037384,2.322903241487418,20.1952463301457,0.4855048783903646,1.9933709910835162,0.13538116801269784,0.014004948415106671,94.83217403482563,11.870195019674167,34.6,6.396815356607275,0.7460409862665002,14.493977201579275,2.6254576560216147,10.7,0.0,0.808586815897945,6.0,6.0,0.0,0.0456871,1,Anderson
2,2,21007,0.0,6.0,1.09223301,0.485436893,0.12416190712689348,0,0.0,0.849514563,0.242718447,44352.0,0,22.160261849921202,17.577888228876226,13.2,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,1.0910413383440418,20.200000000000003,0.0977969649816848,1.138752100958235,3.157574637841419,0.05924775052136126,1.6672695833297977,0.09629665493961426,0.0017782635961119894,0.0,0.0,5.0488649262914045,0.8912955651613856,0.5867323367858758,4.852993036978639,0.15759485998302825,2.8851982058431322,0.1333494969087162,0.012122681537156019,94.09625409140502,11.870195019674167,34.2,6.396815356607275,0.7460409862665002,14.493977201579275,2.6254576560216147,15.1,0.0,1.1898849432994,6.0,6.0,0.0,0.0,1,Ballard
3,3,21009,0.0,6.0,0.579401131,0.857513674,0.09092355602027595,0,0.0,0.834337629,0.208584407,40017.0,0,24.224029592393236,15.412704811135086,13.4,100.0,100.0,75.0,100.0,100.0,75.0,50.0,75.0,50.0,2.632015744670761,20.200000000000003,0.3829636586907263,1.7908154891239683,2.6450937659616978,0.40541303417618146,3.692960984414601,0.37263744070736965,0.06656000137617434,0.01929738574963029,0.002647814211436654,7.2110218059931706,1.2278340457558485,1.7876750484105597,6.366915504992105,0.4291845493562232,3.8342067199392975,0.14701349204467312,0.011855926777796219,91.52064116852014,11.870195019674167,31.0,6.396815356607275,0.7460409862665002,14.493977201579275,2.6254576560216147,19.3,0.0463521,1.16685230226021,6.0,6.0,0.0,0.023176,1,Barren
4,4,21011,0.0,6.0,0.491561527,0.409634606,0.08112273870365865,0,0.0,0.327707685,0.409634606,35143.0,0,24.72608057976016,14.718315934776982,14.1,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,1.354499180398585,20.200000000000003,0.0,0.01785660946932767,5.961222268395727,0.004350531254275144,0.06174405318577293,0.0,0.0,0.0,0.0,0.11996825675363298,0.029526480132336726,0.0346285574859346,0.11996825675363298,0.14666551634889138,1.311362263825382,0.15529289966353205,0.01725476662928134,96.02277629195065,11.870195019674167,30.4,6.396815356607275,0.7460409862665002,14.493977201579275,2.6254576560216147,24.9,0.0,0.845028528163111,6.0,6.0,0.0,0.0,0,Bath
5,5,21015,0.0,6.0,0.348065468,0.949269458,0.00777992157839049,0,0.0,0.806879039,0.102837525,68804.0,1,28.262534613798383,9.521845620355016,11.9,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,0.0,3.539234582656488,20.200000000000003,0.8827435351435389,10.312263847715531,0.8864706107478806,1.0404063784462971,6.177190636966737,0.9585946112716247,0.918508911378155,0.058585467473097536,0.024017531216213483,34.9919376881144,2.9498580224203734,2.2396214674769324,32.14948767896256,2.115965693412226,2.4644182777688934,0.16160119854222252,0.06396714108962975,90.02112599001777,11.870195019674167,32.5,6.396815356607275,0.7460409862665002,14.493977201579275,2.6254576560216147,8.2,0.102837525,0.691116366880355,6.0,6.0,0.0553741,0.0237317,2,Boone
6,6,21017,0.0,6.0,0.600841178,0.650911276,0.04992511233150274,0,0.0,0.600841178,0.150210294,46370.0,1,24.08306229672254,15.256442331748813,13.8,0.0,0.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,6.845133850387791,20.200000000000003,1.8138573101675357,3.5584760820921537,3.984420664871665,1.546054475335882,7.716112294659444,1.3411706072458442,0.03290255932654176,0.025432383809830525,0.0,15.72326654258884,2.0655725811002803,4.11232450345835,12.509903691122792,0.2952214160620465,5.939454590943207,0.1300975731798849,0.0,85.19889917438078,11.870195019674167,34.1,6.396815356607275,0.7460409862665002,14.493977201579275,2.6254576560216147,14.8,0.0,1.10251289732069,6.0,6.0,0.0,0.0500701,1,Bourbon
7,7,21019,0.0,6.0,0.716743119,1.249180865,0.020776198786669992,0,0.0,0.59387287,0.143348624,43406.0,1,21.3818578176093,16.63638932622825,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4412014048685964,20.200000000000003,0.24764929790023815,4.813363667434217,1.9455189292461161,0.18000023499057607,9.467246541387873,0.26413061066267407,0.07698944744365144,0.03238407277100925,0.0,21.565509055178637,3.6870353573692825,4.722572103617349,20.944355598858344,0.4481046384885552,2.7734043841588956,0.1998304468935449,0.006055468087683178,93.7850712526745,11.870195019674167,38.5,6.396815356607275,0.7460409862665002,14.493977201579275,2.6254576560216147,20.5,0.0614351,1.0232277902435,6.0,6.0,0.102391874,0.0409567,1,Boyd
8,8,21021,0.0,6.0,0.471285262,0.774254359,0.03331334532613765,0,0.0,0.67326466,0.168316165,40459.0,0,21.658694428812606,16.207090602138436,11.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,2.799662352279122,20.200000000000003,1.9732165530689367,6.36054276030114,4.095269442700289,0.8905771179081633,12.47147923442241,0.9848229698136923,0.198259319338086,0.083636775425204,0.012851465749200583,27.30954113795136,4.655625388672377,5.642823362720614,24.05675405943082,0.742121553179516,7.407146876758581,0.16530669667979742,0.024620146314012378,86.88801350590883,11.870195019674167,32.2,6.396815356607275,0.7460409862665002,14.493977201579275,2.6254576560216147,17.2,0.168316165,0.977191462900038,6.0,6.0,0.0,0.0336632,1,Boyle
9,9,21023,0.0,6.0,0.594813229,0.475850583,0.11904761904761904,0,0.0,0.713775874,0.237925291,44846.0,1,25.35344015080113,13.654571159283693,14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1310084825636193,20.200000000000003,0.0,0.14049493215606976,6.307377588159843,0.0,0.22177180292753182,0.007406850227412746,0.0,0.0031209754442460768,0.0,0.5639836422239208,0.11039553276624105,0.10268761172109225,0.5534558172774576,0.058906691800188496,0.3416588124410933,0.20028275212064092,0.0,97.20782280867107,11.870195019674167,32.4,6.396815356607275,0.7460409862665002,14.493977201579275,2.6254576560216147,15.7,0.0,0.892857142857143,6.0,6.0,0.0,0.0,1,Bracken
